nazev,suit,rank,barva,id,typ,range,enum
Bang,2,14,H,1,0,0,1
Bang,1,2,H,2,0,0,1
Bang,1,3,H,3,0,0,1
Bang,1,4,H,4,0,0,1
Bang,1,5,H,5,0,0,1
Bang,1,6,H,6,0,0,1
Bang,1,7,H,7,0,0,1
Bang,1,8,H,8,0,0,1
Bang,1,9,H,9,0,0,1
Bang,1,10,H,10,0,0,1
Bang,1,11,H,11,0,0,1
Bang,1,12,H,12,0,0,1
Bang,1,13,H,13,0,0,1
Bang,1,14,H,14,0,0,1
Bang,3,2,H,15,0,0,1
Bang,3,3,H,16,0,0,1
Bang,3,4,H,17,0,0,1
Bang,3,5,H,18,0,0,1
Bang,3,6,H,19,0,0,1
Bang,3,7,H,20,0,0,1
Bang,3,8,H,21,0,0,1
Bang,3,9,H,22,0,0,1
Bang,0,12,H,23,0,0,1
Bang,0,13,H,24,0,0,1
Bang,0,14,H,25,0,0,1
Vedle,3,10,H,26,1,0,2
Vedle,3,11,H,27,1,0,2
Vedle,3,12,H,28,1,0,2
Vedle,3,13,H,29,1,0,2
Vedle,3,14,H,30,1,0,2
Vedle,2,2,H,31,1,0,2
Vedle,2,3,H,32,1,0,2
Vedle,2,4,H,33,1,0,2
Vedle,2,5,H,34,1,0,2
Vedle,2,6,H,35,1,0,2
Vedle,2,7,H,36,1,0,2
Vedle,2,8,H,37,1,0,2
Pivo,0,6,H,38,1,0,3
Pivo,0,7,H,39,1,0,3
Pivo,0,8,H,40,1,0,3
Pivo,0,9,H,41,1,0,3
Pivo,0,10,H,42,1,0,3
Pivo,0,11,H,43,1,0,3
Salon,0,5,H,44,2,0,4
WellsFargo,0,3,H,45,2,0,5
Dostavnik,2,9,H,46,2,0,6
Dostavnik,2,9,H,47,2,0,6
Hokynarstvi,3,9,H,48,2,0,7
Hokynarstvi,3,12,H,49,2,0,7
Panika,0,11,H,50,0,0,8
Panika,0,12,H,51,0,0,8
Panika,0,14,H,52,0,0,8
Panika,1,8,H,53,0,0,8
CatBalou,0,13,H,54,0,0,9
CatBalou,1,9,H,55,0,0,9
CatBalou,1,10,H,56,0,0,9
CatBalou,1,11,H,57,0,0,9
Indiani,1,13,H,58,2,0,10
Indiani,1,14,H,59,2,0,10
Kulomet,0,10,H,60,2,0,11
Duel,1,12,H,61,0,0,12
Duel,2,11,H,62,0,0,12
Duel,3,8,H,63,0,0,12
Dynamit,0,2,M,64,2,0,13
Vezeni,2,11,M,65,0,0,14
Vezeni,2,10,M,66,0,0,14
Vezeni,0,4,M,67,0,0,14
Barel,2,12,M,68,1,0,15
Barel,2,13,M,69,1,0,15
Mustang,0,8,M,70,1,0,16
Mustang,0,9,M,71,1,0,16
Appaloosa,2,14,M,72,0,0,17
Volcanic,2,10,M,73,0,1,18
Volcanic,3,10,M,74,0,1,18
Schofield,3,11,M,75,0,2,19
Schofield,3,12,M,76,0,2,19
Schofield,2,13,M,77,0,2,19
Remington,3,13,M,78,0,3,20
Carabine,3,14,M,79,0,4,21
Winchester,2,8,M,80,0,5,22
