node_1,node_2,distance
Albertov,Botanicka zahrada,1
Albertov,Ostrcilovo namesti,1
Albertov,Vyton,1
Andel,Arbesovo namesti,1
Andel,Bertramka,2
Andel,Na Knizeci,1
Andel,Zborovska,1
Arbesovo namesti,Andel,3
Arbesovo namesti,Svandovo divadlo,1
Balabenka,Divadlo Gong,2
Balabenka,Ocelarska,1
Balabenka,Palmovka,2
Baterie,Orechovka,1
Baterie,Vojenska nemocnice,2
Belarie,Cerny kun,1
Belarie,Modranska skola,1
Bertramka,Andel,3
Bertramka,U Zvonu,1
Bila Hora,Maly Brevnov,1
Bila labut,Florenc,1
Bila labut,Masarykovo nadrazi,1
Bila labut,Namesti Republiky,2
Bila labut,Tesnov,1
Biskupcova,Krejcarek,2
Biskupcova,Nakladove nadrazi Zizkov,1
Biskupcova,Ohrada,1
Blatiny,Sidliste Repy,2
Blatiny,Slanska,1
Bohemians,Cechovo namesti,2
Bohemians,Koh-i-noor,1
Bohemians,Nadrazi Vrsovice,1
Borislavka,Na Piskach,1
Borislavka,Sidliste Cerveny Vrch,1
Botanicka zahrada,Albertov,1
Botanicka zahrada,Karlovo namesti,1
Braunova,Krizova,1
Braunova,Laurova,1
Brevnovsky klaster,Ricanova,1
Brevnovsky klaster,U Kastanu,1
Brezineveska,Kobylisy,1
Brezineveska,Libeznicka,1
Brezineveska,Strelnicna,1
Bruselska,I. P. Pavlova,2
Bruselska,Namesti Miru,3
Bruselska,Pod Karlovem,1
Bruselska,Zvonarka,2
Brusnice,Pohorelec,1
Brusnice,Prasny most,1
Brusnice,Prazsky hrad,1
Bulovka,Vosmikovych,1
Bulovka,Vychovatelna,2
CSAD Smichov,Lihovar,1
CSAD Smichov,Smichovske nadrazi,1
Cechova ctvrt,Nadrazi Modrany,1
Cechova ctvrt,Poliklinika Modrany,1
Cechovo namesti,Bohemians,3
Cechovo namesti,Koh-i-noor,1
Cechovo namesti,Vrsovicke namesti,1
Cechuv most,Dlouha trida,3
Cechuv most,Malostranska,2
Cechuv most,Pravnicka fakulta,1
Cechuv most,Strossmayerovo namesti,3
Cernokostelecka,Depo Hostivar,1
Cernokostelecka,Nove Strasnice,1
Cerny kun,Belarie,2
Cerny kun,Nadrazi Branik,2
Cerveny Vrch,Nadrazi Veleslavin,1
Cerveny Vrch,Sidliste Cerveny Vrch,1
Chaplinovo namesti,K Barrandovu,1
Chaplinovo namesti,Poliklinika Barrandov,1
Chmelnice,Knezska luka,1
Chmelnice,Strazni,1
Chotkovy sady,Hradcanska,2
Chotkovy sady,Malostranska,3
Chotkovy sady,Sparta,2
Dejvicka,Lotysska,2
Dejvicka,Thakurova,1
Dejvicka,Vitezne namesti,1
Delnicka,Maniny,1
Delnicka,Tusarova,1
Delnicka,U Pruhonu,1
Depo Hostivar,Cernokostelecka,1
Depo Hostivar,Malesicka tovarna,1
Divadlo Gong,Balabenka,1
Divadlo Gong,Poliklinika Vysocany,1
Divadlo Na Fidlovacce,Namesti Bratri Synku,2
Divadlo Na Fidlovacce,Otakarova,2
Divadlo Na Fidlovacce,Svatoplukova,1
Divadlo pod Palmovkou,Palmovka,1
Divoka Sarka,Vozovna Vokovice,1
Dlouha trida,Cechuv most,3
Dlouha trida,Namesti Republiky,1
Dlouha trida,Strossmayerovo namesti,3
Drinopol,Marjanka,1
Drinopol,U Kastanu,1
Dubecska,Na Padesatem,1
Dubecska,Radosovicka,1
Dvorce,Kublov,1
Dvorce,Pristaviste,2
Flora,Olsanske hrbitovy,1
Flora,Olsanske namesti,2
Flora,Orionka,2
Flora,Radhostska,1
Florenc,Bila labut,1
Florenc,Karlinske namesti,1
Geologicka,Hlubocepy,3
Geologicka,K Barrandovu,1
Hadovka,Na Piskach,1
Hadovka,Thakurova,1
Hellichova,Malostranske namesti,2
Hellichova,Ujezd,2
Hercovka,Ke Stirce,2
Hercovka,Nad Trojou,3
Hladkov,Malovanka,2
Hladkov,Vozovna Stresovice,1
Hlavni nadrazi,Husinecka,2
Hlavni nadrazi,Jindrisska,1
Hlavni nadrazi,Masarykovo nadrazi,2
Hloubetin,Kbelska,1
Hloubetin,Sidliste Hloubetin,1
Hlubocepy,Geologicka,2
Hlubocepy,Zlichov,1
Hlusickova,Krematorium Motol,1
Hlusickova,Slanska,2
Horky,Namesti Bratri Synku,2
Horky,Nuselska radnice,2
Horky,Pod Jezerkou,1
Hostivarska,Na Grosi,1
Hostivarska,Nadrazi Hostivar,2
Hotel Golf,Postovka,1
Hotel Golf,Vozovna Motol,1
Hradcanska,Chotkovy sady,1
Hradcanska,Prasny most,2
Hradcanska,Sparta,2
Hradcanska,Vitezne namesti,2
Husinecka,Hlavni nadrazi,2
Husinecka,Lipanska,1
I. P. Pavlova,Bruselska,1
I. P. Pavlova,Muzeum,1
I. P. Pavlova,Namesti Miru,1
I. P. Pavlova,Stepanska,2
Invalidovna,Palmovka,3
Invalidovna,Urxova,1
Italska,Muzeum,1
Italska,Vinohradska trznice,1
Jana Masaryka,Krymska,1
Jana Masaryka,Namesti Miru,2
Jindrisska,Hlavni nadrazi,2
Jindrisska,Masarykovo nadrazi,2
Jindrisska,Vaclavske namesti,2
Jiraskovo namesti,Myslikova,2
Jiraskovo namesti,Narodni divadlo,2
Jiraskovo namesti,Palackeho namesti (nabrezi),2
Jiraskovo namesti,Zborovska,3
Jiriho z Podebrad,Radhostska,1
Jiriho z Podebrad,Vinohradska trznice,1
K Barrandovu,Chaplinovo namesti,1
K Barrandovu,Geologicka,1
Kabesova,Nadrazi Liben,2
Kabesova,Podkovarska,1
Kamenicka,Letenske namesti,1
Kamenicka,Strossmayerovo namesti,1
Karlinske namesti,Florenc,1
Karlinske namesti,Krizikova,1
Karlovo namesti,Moran,1
Karlovo namesti,Novomestska radnice,1
Karlovo namesti,Stepanska,2
Karlovy lazne,Narodni divadlo,1
Kavalirka,Klamovka,1
Kavalirka,Kotlarka,1
Kbelska,Hloubetin,1
Kbelska,Nademlejnska,1
Kbelska,Stary Hloubetin,1
Ke Stirce,Hercovka,1
Ke Stirce,Kobylisy,1
Ke Stirce,Okrouhlicka,1
Klamovka,Kavalirka,2
Klamovka,U Zvonu,1
Knezska luka,Chmelnice,1
Knezska luka,Spojovaci,1
Kobylisy,Brezineveska,1
Kobylisy,Ke Stirce,1
Kobylisy,Strelnicna,1
Koh-i-noor,Bohemians,2
Koh-i-noor,Cechovo namesti,1
Koh-i-noor,Slavia,2
Kolbenova,Novy Hloubetin,1
Kolbenova,Postovska,1
Korunovacni,Sparta,1
Kotlarka,Kavalirka,1
Kotlarka,Postovka,1
Kralovsky letohradek,Malostranska,3
Kralovsky letohradek,Prazsky hrad,1
Krejcarek,Biskupcova,2
Krejcarek,Ohrada,2
Krejcarek,Palmovka,3
Krematorium Motol,Hlusickova,1
Krematorium Motol,Motol,2
Krematorium Strasnice,Vinohradske hrbitovy,1
Krematorium Strasnice,Vozovna Strasnice,1
Krizikova,Karlinske namesti,1
Krizikova,Urxova,1
Krizova,Braunova,1
Krizova,Na Knizeci,2
Krymska,Jana Masaryka,1
Krymska,Ruska,1
Kubanske namesti,Prubezna,1
Kubanske namesti,Slavia,1
Kublov,Dvorce,1
Kublov,Podolska vodarna,2
Kyselova,Ladvi,1
Kyselova,Strelnicna,1
Ladvi,Kyselova,1
Ladvi,Stepnicna,1
Laurova,Braunova,1
Laurova,Skola Radlice,1
Lazarska,Karlovo namesti,2
Lazarska,Myslikova,1
Lazarska,Narodni trida,2
Lazarska,Vodickova,1
Lehovec,Sidliste Hloubetin,1
Letenske namesti,Kamenicka,1
Letenske namesti,Korunovacni,1
Levskeho,Sidliste Modrany,0
Libensky most,Maniny,2
Libensky most,Palmovka,2
Libeznicka,Brezineveska,1
Libeznicka,Vozovna Kobylisy,2
Lihovar,CSAD Smichov,1
Lihovar,Zlichov,1
Lipanska,Husinecka,2
Lipanska,Olsanske namesti,1
Lotysska,Dejvicka,2
Lotysska,Vitezne namesti,1
Lotysska,Zelena,2
Malesicka tovarna,Depo Hostivar,1
Malesicka tovarna,Na Homoli,1
Malostranska,Cechuv most,1
Malostranska,Chotkovy sady,2
Malostranska,Kralovsky letohradek,4
Malostranska,Malostranske namesti,2
Malostranska,Staromestska,2
Malostranske namesti,Hellichova,1
Malostranske namesti,Malostranska,2
Malovanka,Hladkov,1
Malovanka,Marjanka,1
Malovanka,Pohorelec,2
Maly Brevnov,Bila Hora,2
Maly Brevnov,Obora Hvezda,1
Maniny,Libensky most,2
Maniny,Tusarova,1
Maniny,U Pruhonu,1
Marjanka,Drinopol,1
Marjanka,Malovanka,1
Masarykovo nadrazi,Bila labut,2
Masarykovo nadrazi,Hlavni nadrazi,2
Masarykovo nadrazi,Jindrisska,2
Masarykovo nadrazi,Namesti Republiky,2
Mezi Hrbitovy,Nakladove nadrazi Zizkov,1
Mezi Hrbitovy,Zelivskeho,2
Michelska,Plynarna Michle,2
Michelska,Pod Jezerkou,1
Modranska rokle,Sidliste Modrany,1
Modranska rokle,U Libusskeho potoka,1
Modranska skola,Belarie,1
Modranska skola,Nadrazi Modrany,1
Moran,Botanicka zahrada,1
Moran,Palackeho namesti,1
Motol,Krematorium Motol,1
Motol,Vozovna Motol,1
Multiarena Praha,Nadrazi Liben,1
Multiarena Praha,Ocelarska,1
Muzeum,I. P. Pavlova,2
Muzeum,Italska,2
Myslikova,Jiraskovo namesti,1
Myslikova,Lazarska,1
Na Grosi,Hostivarska,1
Na Grosi,Obchodni centrum Hostivar,1
Na Homoli,Malesicka tovarna,0
Na Homoli,Ustredni dilny DP,1
Na Hroude,Nadrazi Strasnice,1
Na Hroude,Prubezna,1
Na Hroude,Strasnicka,1
Na Knizeci,Andel,2
Na Knizeci,Krizova,2
Na Knizeci,Plzenka,1
Na Padesatem,Dubecska,1
Na Padesatem,Zahradni Mesto,1
Na Piskach,Borislavka,1
Na Piskach,Hadovka,1
Na Veseli,Prazskeho povstani,2
Na Veseli,Vozovna Pankrac,1
Nabrezi Kapitana Jarose,Cechuv most,2
Nabrezi Kapitana Jarose,Dlouha trida,2
Nad Dzbanem,Nadrazi Veleslavin,1
Nad Dzbanem,Vozovna Vokovice,1
Nad Primaskou,Strasnicka,1
Nad Trojou,Hercovka,1
Nad Trojou,Trojska,1
Nademlejnska,Kbelska,1
Nademlejnska,Stary Hloubetin,1
Nademlejnska,U Elektry,0
Nadrazi Branik,Cerny kun,1
Nadrazi Branik,Pobrezni cesta,1
Nadrazi Holesovice,Ortenovo namesti,2
Nadrazi Holesovice,Trojska,2
Nadrazi Holesovice,Vystaviste Holesovice,2
Nadrazi Hostivar,Hostivarska,1
Nadrazi Liben,Kabesova,1
Nadrazi Liben,Multiarena Praha,2
Nadrazi Modrany,Cechova ctvrt,1
Nadrazi Modrany,Modranska skola,1
Nadrazi Podbaba,Zelena,1
Nadrazi Strasnice,Na Hroude,1
Nadrazi Strasnice,Radosovicka,1
Nadrazi Veleslavin,Cerveny Vrch,1
Nadrazi Veleslavin,Nad Dzbanem,1
Nadrazi Vrsovice,Bohemians,1
Nadrazi Vrsovice,Namesti Bratri Synku,2
Nadrazi Vrsovice,Otakarova,1
Nadrazi Vysocany,Poliklinika Vysocany,1
Nadrazi Vysocany,Spitalska,1
Nakladove nadrazi Zizkov,Biskupcova,1
Nakladove nadrazi Zizkov,Mezi Hrbitovy,1
Nakladove nadrazi Zizkov,Olsanska,1
Namesti Bratri Synku,Divadlo Na Fidlovacce,1
Namesti Bratri Synku,Horky,1
Namesti Bratri Synku,Nuselska radnice,1
Namesti Bratri Synku,Nuselske schody,2
Namesti Bratri Synku,Otakarova,2
Namesti Miru,I. P. Pavlova,2
Namesti Miru,Jana Masaryka,2
Namesti Miru,Sumavska,3
Namesti Republiky,Bila labut,2
Namesti Republiky,Dlouha trida,1
Namesti Republiky,Masarykovo nadrazi,1
Narodni divadlo,Jiraskovo namesti,1
Narodni divadlo,Narodni trida,2
Narodni divadlo,Staromestska,2
Narodni divadlo,Ujezd,2
Narodni trida,Karlovo namesti,2
Narodni trida,Lazarska,1
Narodni trida,Narodni divadlo,1
Nove Strasnice,Cernokostelecka,1
Nove Strasnice,Zborov - Strasnicke divadlo,1
Novomestska radnice,Lazarska,1
Novomestska radnice,Narodni trida,2
Novy Hloubetin,Kolbenova,1
Novy Hloubetin,Vozovna Hloubetin,1
Nuselska radnice,Horky,2
Nuselska radnice,Namesti Bratri Synku,2
Nuselska radnice,Paloucek,1
Nuselske schody,Namesti Bratri Synku,2
Nuselske schody,Otakarova,1
Nuselske schody,Pod Karlovem,1
Obchodni centrum Hostivar,Na Grosi,1
Obchodni centrum Hostivar,Sidliste Zahradni Mesto,1
Obora Hvezda,Maly Brevnov,1
Obora Hvezda,Vypich,2
Ocelarska,Balabenka,1
